,time,open,high,low,close,tick_volume,spread,real_volume
0,2024-02-19 07:30:00,1.26184,1.2619799999999999,1.26182,1.26187,105,11,0
1,2024-02-19 07:35:00,1.26187,1.26194,1.26177,1.2619,127,11,0
2,2024-02-19 07:40:00,1.26189,1.26193,1.26182,1.26183,153,11,0
3,2024-02-19 07:45:00,1.26183,1.26205,1.26182,1.2619500000000001,158,11,0
4,2024-02-19 07:50:00,1.26196,1.2619799999999999,1.26184,1.2619,107,11,0
5,2024-02-19 07:55:00,1.2619,1.26196,1.26181,1.26185,167,11,0
6,2024-02-19 08:00:00,1.26185,1.26185,1.26162,1.26176,139,12,0
7,2024-02-19 08:05:00,1.26176,1.26177,1.2615,1.26158,69,11,0
8,2024-02-19 08:10:00,1.26157,1.2617099999999999,1.26155,1.2616800000000001,81,11,0
9,2024-02-19 08:15:00,1.2616800000000001,1.26176,1.26151,1.26166,95,11,0
10,2024-02-19 08:20:00,1.26166,1.26169,1.26141,1.26154,94,11,0
11,2024-02-19 08:25:00,1.26154,1.26181,1.26142,1.2618,88,11,0
12,2024-02-19 08:30:00,1.26182,1.26192,1.26176,1.2618800000000001,147,11,0
13,2024-02-19 08:35:00,1.2618800000000001,1.26206,1.26186,1.26204,105,11,0
14,2024-02-19 08:40:00,1.26204,1.26221,1.26201,1.26206,97,11,0
15,2024-02-19 08:45:00,1.26202,1.26217,1.26196,1.26214,80,11,0
16,2024-02-19 08:50:00,1.26214,1.2622499999999999,1.26201,1.2622499999999999,122,11,0
17,2024-02-19 08:55:00,1.2622499999999999,1.26239,1.2622499999999999,1.26236,110,11,0
18,2024-02-19 09:00:00,1.26239,1.26248,1.26209,1.26214,288,11,0
19,2024-02-19 09:05:00,1.26213,1.26248,1.26213,1.26234,126,11,0
20,2024-02-19 09:10:00,1.26237,1.26253,1.2623199999999999,1.26238,159,11,0
21,2024-02-19 09:15:00,1.26237,1.26247,1.26219,1.26247,170,11,0
22,2024-02-19 09:20:00,1.26245,1.26255,1.26231,1.26244,203,11,0
23,2024-02-19 09:25:00,1.26244,1.26257,1.26235,1.26254,121,11,0
24,2024-02-19 09:30:00,1.26258,1.26288,1.2625,1.26285,135,11,0
25,2024-02-19 09:35:00,1.26285,1.2629000000000001,1.26236,1.26244,261,11,0
26,2024-02-19 09:40:00,1.26244,1.2625600000000001,1.26223,1.26227,242,11,0
27,2024-02-19 09:45:00,1.26227,1.26235,1.26192,1.26194,247,11,0
28,2024-02-19 09:50:00,1.26194,1.26227,1.26184,1.2619099999999999,204,11,0
29,2024-02-19 09:55:00,1.26192,1.26213,1.26182,1.2619500000000001,275,11,0
30,2024-02-19 10:00:00,1.26197,1.26261,1.2619500000000001,1.26242,331,11,0
31,2024-02-19 10:05:00,1.26244,1.26261,1.26215,1.26217,264,11,0
32,2024-02-19 10:10:00,1.26217,1.26248,1.26216,1.26245,211,11,0
33,2024-02-19 10:15:00,1.26247,1.2626,1.2623,1.26246,242,11,0
34,2024-02-19 10:20:00,1.26246,1.26247,1.26208,1.26238,263,11,0
