,time,open,high,low,close,tick_volume,spread,real_volume
337,2024-02-21 23:35:00,2024.19,2024.95,2024.19,2024.64,125,18,0
338,2024-02-21 23:40:00,2024.64,2025.91,2024.56,2025.55,204,18,0
339,2024-02-21 23:45:00,2025.56,2025.68,2025.01,2025.21,100,18,0
340,2024-02-21 23:50:00,2025.24,2025.78,2025.01,2025.64,114,18,0
341,2024-02-21 23:55:00,2025.64,2026.1,2025.61,2025.81,72,13,0
